column,column_type,quote_data_recoverable,status,evidence_file,evidence_line,notes
sip_timestamp,BIGINT,yes (exact match confirmed),load-bearing,hawkes-ofi-impact/data/loaders/quotes.py,51,Explicitly selected by name in pq.read_table columns=[...]. Identical line in scanner-epg-momentum/backtest/data/loaders/quotes.py:51. quote_data.timestamp confirmed exact match via T1.
bid_price,DOUBLE,yes (direct 1:1),load-bearing,hawkes-ofi-impact/data/loaders/quotes.py,51,"Read by name; feeds spread_bps and microprice computation (compute_spread_bps, quote_ofi.py)."
ask_price,DOUBLE,yes (direct 1:1),load-bearing,hawkes-ofi-impact/data/loaders/quotes.py,51,Read by name; same as bid_price.
bid_size,BIGINT,yes (direct 1:1),load-bearing,hawkes-ofi-impact/data/loaders/quotes.py,51,Read by name; feeds microprice/OFI weighting.
ask_size,BIGINT,yes (direct 1:1),load-bearing,hawkes-ofi-impact/data/loaders/quotes.py,51,Read by name; feeds microprice/OFI weighting.
participant_timestamp,BIGINT,"yes (inferred, unconfirmed exact semantics)",unused-in-production,(none),,"Zero references in hawkes-ofi-impact/ or src/. Only appears in root-level audit/diagnostic scripts (audit_quotes_sweep.py, audit_full_sweep.py, auditdb.py, inspect timestamps(parquet).py, inspect timestamps(csv).py, t4_band_mismatch_diagnostic.py) and data/collection_scripts/collect_massive_data.py -- schema-fingerprint / collection-time checks, not consumed for signal computation."
ask_exchange,BIGINT,no (not present in quote_data under any name),unused,(none),,Zero matches for 'ask_exchange' in any .py file in the repo.
bid_exchange,BIGINT,no (not present in quote_data under any name),unused,(none),,Zero matches for 'bid_exchange' in any .py file in the repo.
conditions,BIGINT[],no (not present in quote_data),unused-for-quotes,scanner-epg-momentum/backtest/data/schemas/mom_db.py,19-22,"The one 'conditions' match in the codebase is a TRADES schema field declaration (alongside size/exchange), not the quotes.parquet conditions column. No code reads conditions from quotes.parquet."
sequence_number,BIGINT,no (not present in quote_data),unused,auditdb.py,6-8,"Only appears in a comment describing an audit schema-fingerprint check (presence-only, for corruption detection) -- not read/consumed for any signal computation."
tape,BIGINT,no (not present in quote_data),unused,(none),,"6 nominal .py matches are all false positives: unrelated feature names (tape_z in burst_detection/detect.py -- a burst z-score metric, not the quotes column) or trades-side/diagnostic tooling. No code reads quotes.parquet's tape column."
indicators,BIGINT[],no (not present in quote_data),unused,(none),,"4 nominal .py matches are all false positives: calculate_indicators() method name (technical-indicator calculator, unrelated), and an unrelated English-language comment in mhp_quick_reference.py. No code reads quotes.parquet's indicators column."
